abucco|1.9644 * 10**-1|In Pegu, Burma, the abucco was a unit of mass used for gold and silver.
adarme|1.8 * 10**-3|The adarme is an antiquated Spanish unit of mass, equal to three tomines, equivalent to 1⁄16 ounce.
adowlie|1.982|An adowlie is an obsolete unit of dry volume and mass formerly used in western India a standard measurement for grain and salt.
adowlie (heavy)|2.031|An adowlie is an obsolete unit of dry volume and mass formerly used in western India a standard measurement for grain and salt.
arrátel (13th century)|3.596 * 10**-1|The arrátel was the base unit of weight in the Portuguese customary measurement system.
arrátel (15th century)|4.025 * 10**-1|The arrátel was the base unit of weight in the Portuguese customary measurement system.
arrátel (1499 year)|4.59 * 10**-1|The arrátel was the base unit of weight in the Portuguese customary measurement system.
arroba (Portugal)|14.7|Arroba was a Portuguese and Spanish custom unit of weight, mass or volume.
arroba (Spain)|11.5|Arroba was a Portuguese and Spanish custom unit of weight, mass or volume.
atomic mass unit|1.6605 * 10**-27|The unified atomic mass unit is a unit of mass widely used in physics and chemistry.
bahar|8.08 * 10**-1|Bahar is an obsolete unit of measurement.
candareen|3.78 * 10**-4|A candareen is a traditional measurement of weight in East Asia.
carat|2 * 10**-4|The carat (not to be confused with the unit of purity of gold alloys), is a unit of mass equal to 200 mg.
cash|3.7799 * 10**-6|Cash or li is a traditional Chinese unit of weight.
cullingey|5.265 * 10**-3|A cullingey is an obsolete unit of mass that was used in the southern region in state of Karnataka in India.
dharni|2.3325|The dharni is an obsolete unit of mass, formerly used in Nepal, of about 2 1⁄2 seer.
dutch cask|50.80234|Dutch cask is a UK unit of weight for Butter and Cheese.
earth mass|5.9722 * 10**24|Earth mass is the unit of mass equal to that of Earth.
esterling|1.4174 * 10**-3|The esterling is an obsolete Belgian unit of mass.
flask|34.47302|Flask is a British unit of weight in the avoirdupois system, used to measure mercury.
frasilah|16|A frasilah is a historical weight unit that was used in the 19th century on the island of Zanzibar and in eastern Africa.
garce|4198.518|A garce is an obsolete unit of measurement.
grain|6.4798 * 10**-5|A grain is a unit of measurement of mass.
gram|0.001|The gram is a metric system unit of mass.
grivna (lesser grivna)|2.0475 * 10**-1|Grivna was a currency as well as a measure of weight used in Kievan Rus' and other East Slavic countries since the 11th century.
grivna (greater grivna)|4.0951 * 10**-1|Grivna was a currency as well as a measure of weight used in Kievan Rus' and other East Slavic countries since the 11th century.
hundredweight (US)|45.35923|The hundredweight, formerly also known as the centum weight or quintal, is an English, imperial, and US customary unit of weight or mass of various values.
hundredweight (UK)|50.80234|The hundredweight, formerly also known as the centum weight or quintal, is an English, imperial, and US customary unit of weight or mass of various values.
jupiter mass|1.89813 * 10**27|Jupiter mass, also called Jovian mass, is the unit of mass equal to the total mass of the planet Jupiter.
kantar|45.02|A kantar is the official Egyptian weight unit for measuring cotton.
keel (1750 year)|21 540|Keel was a unit used to measure coal in the northeast of England, being the quantity of coal carried by a keelboat on the Tyne and Wear rivers.
kilogram|1|The kilogram is the base unit of mass in the metric system, formally the International System of Units (SI), having the unit symbol kg.
kip|453.59237|It is occasionally also considered a unit of mass, equal to 1000 pounds.
kip (Malaysia)|9.19|The kip is the name of another unit of measure formerly used in Malaysia equal to approximately 9.19 kilograms, which is now obsolete.
kula (Morocco)|11.165|A kula is an obsolete unit of measurement.
long ton|1016.047|Long ton, also known as the imperial ton or displacement ton, is the name for the unit called the "ton" in the avoirdupois system of weights or Imperial system of measurements.
mace|3.78 * 10**-3|A mace is a traditional Chinese measurement of weight in East Asia that was also used as a currency denomination.
mark (Kölner Mark)|2.34 * 10**-1|The Mark is originally a medieval weight or mass unit, which supplanted the pound weight as a precious metals and coinage weight from the 11th century.
masha|9.7 * 10**-4|A masha is a traditional Indian unit of mass, now standardized as 0.97 g.
mene|5.67 * 10**-1|Is an ancient Mesopotamian unit of weight for gold or silver and one of the earliest written words for money.
